"","collo-Tang","logDice-Tang","collo-Song","logDice-Song","collo-Yuan","logDice-Yuan","collo-Ming","logDice-Ming","collo-Qing","logDice-Qing","collo-X1980s","logDice-X1980s"
"1","國",9.43,"國",10.35,"國",10.03,"世",10.74,"國",10.01,"國",10.83
"2","出",8.39,"百",7.76,"世",7.9,"國",10.56,"世",8.22,"大",10.35
"3","誰",8.25,"氏",7.71,"其",7.7,"其",7.7,"諸",7.68,"專",9.8
"4","百",7.8,"邦",7.66,"還",7.64,"誰",7.64,"其",7.6,"回",9.42
"5","還",7.76,"室",7.64,"百",7.63,"還",7.56,"張",7.24,"學",8.91
"6","世",7.76,"其",7.62,"誰",7.62,"吾",7.26,"誰",7.23,"畫",8.87
"7","起",7.71,"還",7.59,"諸",7.55,"起",7.24,"人",7.16,"客",8.82
"8","其",7.45,"起",7.56,"起",7.51,"一",7.22,"百",7.09,"作",8.5
"9","室",7.43,"世",7.52,"吾",7.43,"百",7.15,"我",7.07,"術",8.29
"10","邦",7.39,"誰",7.39,"室",7.19,"漢",7.01,"吾",6.96,"人",8.03
"11","田",7.35,"諸",7.32,"故",7.16,"諸",7.01,"一",6.83,"儒",7.7
"12","漢",7.19,"吾",7.31,"一",7.12,"室",6.92,"回",6.83,"一",7.59
"13","家",6.96,"漢",7.28,"仙",7.08,"于",6.91,"室",6.82,"全",7.44
"14","吾",6.95,"一",7.15,"君",7.04,"邦",6.9,"還",6.77,"在",7.43
"15","在",6.92,"周",6.95,"邦",7.03,"人",6.9,"在",6.75,"玩",7.13
