,collo-Tang,logDice-Tang,collo-Song,logDice-Song,collo-Yuan,logDice-Yuan,collo-Ming,logDice-Ming,collo-Qing,logDice-Qing,collo-X1980s,logDice-X1980s
1,貧,8.62,傳,8.43,貧,7.57,忠,9.13,貧,8.12,庭,10.95
2,語,7.48,貧,7.91,世,7.32,恭,8.35,口,7.92,長,9.23
3,人,7.10,法,7.29,庭,7.24,毅,7.69,人,7.52,裡,9.16
4,家,6.96,世,7.05,藏,7.15,高,7.67,居,7.34,都,9.00
5,僮,6.91,屬,6.98,法,7.12,睿,7.66,莊,7.21,族,8.53
6,室,6.89,人,6.94,傳,7.09,貧,7.48,屬,7.18,屬,8.30
7,口,6.86,語,6.91,人,6.95,居,7.48,語,6.98,公,8.06
8,莊,6.63,藏,6.79,居,6.91,仁,7.25,藏,6.96,人,8.05
9,財,6.56,庭,6.75,之,6.74,顯,7.17,奴,6.87,鄉,7.87
10,有,6.51,居,6.68,學,6.73,人,7.14,堰,6.84,具,7.74
11,註,6.50,之,6.65,有,6.61,文,7.13,法,6.73,中,7.70
12,國,6.48,財,6.64,聲,6.56,世,6.86,禮,6.71,電,7.47
13,世,6.47,聲,6.64,者,6.48,屬,6.81,橋,6.69,的,7.27
14,聲,6.46,事,6.56,焉,6.47,之,6.79,的,6.67,安,6.87
15,事,6.44,有,6.55,家,6.42,法,6.69,之,6.52,認,6.81
